Date,Harga_Close,Aktual_Tren_5D,RF_Probabilitas,RF_Sinyal,XGB_Probabilitas,XGB_Sinyal
2010-03-05,728.0695190429688,Naik,0.5532645622258991,Turun (HOLD),0.50573283,Turun (HOLD)
2010-03-08,735.3502807617188,Turun,0.5524989660118673,Turun (HOLD),0.5289161,Turun (HOLD)
2010-03-09,757.1922607421875,Naik,0.4881361340600247,Turun (HOLD),0.45523885,Turun (HOLD)
2010-03-10,749.9114379882812,Naik,0.5047514185764437,Turun (HOLD),0.47726792,Turun (HOLD)
2010-03-11,757.1922607421875,Naik,0.5368211820877328,Turun (HOLD),0.50756294,Turun (HOLD)
2010-03-12,742.6307983398438,Naik,0.5478554904471821,Turun (HOLD),0.52719516,Turun (HOLD)
2010-03-15,757.1922607421875,Naik,0.5262612297479599,Turun (HOLD),0.49405307,Turun (HOLD)
2010-03-17,844.5606689453125,Turun,0.2899050193023763,Turun (HOLD),0.3586222,Turun (HOLD)
2010-03-18,793.595703125,Naik,0.49774650450070645,Turun (HOLD),0.41683146,Turun (HOLD)
2010-03-19,793.595703125,Naik,0.4950030095171018,Turun (HOLD),0.4289987,Turun (HOLD)
2010-03-22,793.595703125,Turun,0.5246099112731746,Turun (HOLD),0.47886425,Turun (HOLD)
2010-03-23,815.4379272460938,Turun,0.4480908133758674,Turun (HOLD),0.37912863,Turun (HOLD)
2010-03-24,829.9992065429688,Turun,0.3615494796125849,Turun (HOLD),0.34258232,Turun (HOLD)
2010-03-25,837.280029296875,Turun,0.30710011835577167,Turun (HOLD),0.33974284,Turun (HOLD)
2010-03-26,837.280029296875,Naik,0.3388145555766734,Turun (HOLD),0.34085688,Turun (HOLD)
2010-03-29,815.4379272460938,Naik,0.5686026254657438,Turun (HOLD),0.5147562,Turun (HOLD)
2010-03-30,808.1571044921875,Naik,0.5741555346549673,Turun (HOLD),0.53372914,Turun (HOLD)
2010-03-31,800.8762817382812,Naik,0.5144214561763322,Turun (HOLD),0.49249095,Turun (HOLD)
2010-04-01,793.595703125,Turun,0.5192279100503177,Turun (HOLD),0.5090321,Turun (HOLD)
2010-04-05,837.280029296875,Naik,0.4002831969108315,Turun (HOLD),0.36072752,Turun (HOLD)
2010-04-06,829.9992065429688,Turun,0.43746185163119444,Turun (HOLD),0.39178312,Turun (HOLD)
2010-04-07,851.84130859375,Turun,0.3026058593529284,Turun (HOLD),0.34359342,Turun (HOLD)
2010-04-08,822.718505859375,Naik,0.5656951295247048,Turun (HOLD),0.49359223,Turun (HOLD)
2010-04-09,808.1571044921875,Naik,0.6039536933831932,Turun (HOLD),0.628915,Turun (HOLD)
2010-04-12,851.84130859375,Turun,0.39293451991389405,Turun (HOLD),0.3687081,Turun (HOLD)
2010-04-13,829.9992065429688,Naik,0.48935591523484373,Turun (HOLD),0.44504818,Turun (HOLD)
2010-04-14,844.5606689453125,Turun,0.48448625604021694,Turun (HOLD),0.4268177,Turun (HOLD)
2010-04-15,844.5606689453125,Turun,0.4921623051423443,Turun (HOLD),0.43108937,Turun (HOLD)
2010-04-16,837.280029296875,Naik,0.5211647027222738,Turun (HOLD),0.48003665,Turun (HOLD)
2010-04-19,822.718505859375,Turun,0.6062407353074784,Turun (HOLD),0.6313336,Turun (HOLD)
2010-04-20,851.84130859375,Turun,0.4830789657986161,Turun (HOLD),0.42673534,Turun (HOLD)
2010-04-21,837.280029296875,Turun,0.514606763773217,Turun (HOLD),0.4558385,Turun (HOLD)
2010-04-22,829.9992065429688,Turun,0.5807596502194348,Turun (HOLD),0.59102756,Turun (HOLD)
2010-04-23,829.9992065429688,Turun,0.5811597406193655,Turun (HOLD),0.5908941,Turun (HOLD)
2010-04-26,829.9992065429688,Turun,0.5842655739312674,Turun (HOLD),0.5961073,Turun (HOLD)
2010-04-27,829.9992065429688,Naik,0.5716872892212423,Turun (HOLD),0.56523,Turun (HOLD)
2010-04-28,793.595703125,Turun,0.6886638469851875,Naik (BUY),0.66847473,Naik (BUY)
2010-04-29,793.595703125,Turun,0.6612927161522566,Naik (BUY),0.66800237,Naik (BUY)
2010-04-30,793.595703125,Turun,0.6608472655489708,Naik (BUY),0.6617178,Naik (BUY)
